time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,timestamp,Symbol
1279324800,0.04951,0.04951,0.04951,20.0,0.9902,0.04951,direct,,2010-07-17,BTC
1279411200,0.08585,0.05941,0.04951,75.01,5.092,0.08584,direct,,2010-07-18,BTC
1279497600,0.09307,0.07723,0.08584,574.0,49.66,0.0808,direct,,2010-07-19,BTC
1279584000,0.08181,0.07426,0.0808,262.0,20.59,0.07474,direct,,2010-07-20,BTC
1279670400,0.07921,0.06634,0.07474,575.0,42.26,0.07921,direct,,2010-07-21,BTC
1279756800,0.08181,0.0505,0.07921,2160.0,129.78,0.0505,direct,,2010-07-22,BTC
1279843200,0.06767,0.0505,0.0505,2402.5,141.07,0.06262,direct,,2010-07-23,BTC
1279929600,0.06161,0.05049,0.06262,496.32,26.73,0.05454,direct,,2010-07-24,BTC
1280016000,0.05941,0.0505,0.05454,1551.48,85.06,0.0505,direct,,2010-07-25,BTC
1280102400,0.056,0.05,0.0505,877.0,46.91,0.056,direct,,2010-07-26,BTC
1280188800,0.0605,0.053,0.056,3373.69,196.92,0.06,direct,,2010-07-27,BTC
1280275200,0.062,0.054,0.06,4390.29,255.76,0.0589,direct,,2010-07-28,BTC
1280361600,0.0699,0.0571,0.0589,8058.49,528.32,0.0699,direct,,2010-07-29,BTC
1280448000,0.0698,0.0582,0.0699,3020.85,198.53,0.0627,direct,,2010-07-30,BTC
1280534400,0.06889,0.056,0.0627,4022.25,243.9,0.06785,direct,,2010-07-31,BTC
1280620800,0.065,0.06,0.06785,2601.0,162.65,0.0611,direct,,2010-08-01,BTC
1280707200,0.0633,0.06,0.0611,3599.0,221.2,0.06,direct,,2010-08-02,BTC
1280793600,0.065,0.059,0.06,9821.46,606.05,0.06,direct,,2010-08-03,BTC
1280880000,0.06231,0.057,0.06,3494.0,210.77,0.057,direct,,2010-08-04,BTC
1280966400,0.061,0.058,0.057,5034.07,303.61,0.061,direct,,2010-08-05,BTC
1281052800,0.0624,0.0607,0.061,1395.0,85.91,0.0623,direct,,2010-08-06,BTC
1281139200,0.0622,0.059,0.0623,2619.0,157.34,0.059,direct,,2010-08-07,BTC
1281225600,0.061,0.059,0.059,2201.0,132.6,0.0609,direct,,2010-08-08,BTC
1281312000,0.0735,0.0593,0.0609,13631.09,886.93,0.071,direct,,2010-08-09,BTC
1281398400,0.0709,0.06651,0.071,1310.39,88.87,0.07,direct,,2010-08-10,BTC
1281484800,0.07541,0.06,0.07,14061.18,1015.64,0.067,direct,,2010-08-11,BTC
1281571200,0.07,0.06141,0.067,2062.31,134.49,0.07,direct,,2010-08-12,BTC
1281657600,0.068,0.0645,0.07,3591.77,233.8,0.0645,direct,,2010-08-13,BTC
1281744000,0.0695,0.0645,0.0645,4404.2,295.31,0.067,direct,,2010-08-14,BTC
1281830400,0.067,0.065,0.067,4462.87,294.95,0.06529,direct,,2010-08-15,BTC
1281916800,0.0679,0.062,0.06529,10731.47,696.8,0.0655,direct,,2010-08-16,BTC
1282003200,0.0769,0.06243,0.0655,13185.74,915.0,0.07,direct,,2010-08-17,BTC
1282089600,0.0733,0.067,0.07,2953.98,203.83,0.068,direct,,2010-08-18,BTC
